"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Bolivia","2009","All genders","Not applicable","Number","85.72125"
"Bolivia","2008","Male","Not applicable","Number","83.78094"
"Bolivia","2008","All genders","Not applicable","Number","84.34926"
"Bolivia","2008","Female","Not applicable","Number","84.93399"
"Bolivia","2007","Male","Not applicable","Number","81.3983"
"Bolivia","2007","Female","Not applicable","Number","82.90471"
"Bolivia","2007","All genders","Not applicable","Number","82.14105"
"Bosnia and Herzegovina","2014","Female","Not applicable","Number","83.43305"
"Bosnia and Herzegovina","2014","All genders","Not applicable","Number","81.71313"
"Bosnia and Herzegovina","2014","Male","Not applicable","Number","80.09472"
"Bosnia and Herzegovina","2013","All genders","Not applicable","Number","73.06877"
"Bosnia and Herzegovina","2013","Female","Not applicable","Number","73.85774"
"Bosnia and Herzegovina","2013","Male","Not applicable","Number","72.32643"
"Botswana","2013","All genders","Not applicable","Number","87.45144"
"Botswana","2013","Male","Not applicable","Number","87.33589"
"Botswana","2013","Female","Not applicable","Number","87.56863"
"Botswana","2009","All genders","Not applicable","Number","68.88772"
"Botswana","2008","Female","Not applicable","Number","72.39827"
"Botswana","2008","All genders","Not applicable","Number","65.74898"
"Botswana","2008","Male","Not applicable","Number","59.17756"
"Botswana","2007","All genders","Not applicable","Number","64.06968"
"Botswana","2007","Male","Not applicable","Number","58.80145"
"Botswana","2007","Female","Not applicable","Number","69.39718"
"Botswana","2006","All genders","Not applicable","Number","84.50548"
"Botswana","2006","Female","Not applicable","Number","86.72534"
"Botswana","2006","Male","Not applicable","Number","82.30915"
"Brazil","2014","Male","Not applicable","Number","72.92883"
"Brazil","2014","Female","Not applicable","Number","87.13894"
"Brazil","2014","All genders","Not applicable","Number","79.67341"
"Brazil","2008","Male","Not applicable","Number","61.73587"
"Brazil","2008","All genders","Not applicable","Number","69.09711"
"Brazil","2008","Female","Not applicable","Number","76.68282"
"British Virgin Islands","2014","All genders","Not applicable","Number","71.78841"
"British Virgin Islands","2013","All genders","Not applicable","Number","72.51908"
"British Virgin Islands","2012","All genders","Not applicable","Number","85.34704"
"British Virgin Islands","2009","All genders","Not applicable","Number","95.85492"
"Brunei Darussalam","2014","Male","Not applicable","Number","107.37593"
"Brunei Darussalam","2014","Female","Not applicable","Number","104.98819"
"Brunei Darussalam","2014","All genders","Not applicable","Number","106.22601"
"Brunei Darussalam","2013","Male","Not applicable","Number","109.05671"
"Brunei Darussalam","2013","All genders","Not applicable","Number","109.52648"
"Brunei Darussalam","2013","Female","Not applicable","Number","110.03805"
"Brunei Darussalam","2012","Male","Not applicable","Number","106.44646"
"Brunei Darussalam","2012","Female","Not applicable","Number","102.85631"
"Brunei Darussalam","2012","All genders","Not applicable","Number","104.73208"
"Brunei Darussalam","2009","All genders","Not applicable","Number","86.32342"
"Brunei Darussalam","2008","Male","Not applicable","Number","80.50297"
"Brunei Darussalam","2008","All genders","Not applicable","Number","87.95339"
"Brunei Darussalam","2008","Female","Not applicable","Number","95.88094"
"Brunei Darussalam","2007","Male","Not applicable","Number","76.07832"
"Brunei Darussalam","2007","Female","Not applicable","Number","88.79441"
"Brunei Darussalam","2007","All genders","Not applicable","Number","82.22092"
"Brunei Darussalam","2006","Male","Not applicable","Number","77.37056"
"Brunei Darussalam","2006","All genders","Not applicable","Number","84.4027"
"Brunei Darussalam","2006","Female","Not applicable","Number","91.91794"
"Bulgaria","2014","Female","Not applicable","Number","90.65726"
"Bulgaria","2014","All genders","Not applicable","Number","92.44722"
"Bulgaria","2014","Male","Not applicable","Number","94.13299"
"Bulgaria","2013","All genders","Not applicable","Number","85.06264"
"Bulgaria","2013","Female","Not applicable","Number","82.34532"
"Bulgaria","2013","Male","Not applicable","Number","87.62679"
"Burkina Faso","2014","Male","Not applicable","Number","40.41381"
"Burkina Faso","2014","Female","Not applicable","Number","37.20767"
"Burkina Faso","2014","All genders","Not applicable","Number","38.83997"
"Burkina Faso","2012","All genders","Not applicable","Number","10.88048"
"Burkina Faso","2012","Female","Not applicable","Number","8.85962"
"Burkina Faso","2012","Male","Not applicable","Number","12.83178"
"Burkina Faso","2011","All genders","Not applicable","Number","12.34508"
"Burkina Faso","2008","All genders","Not applicable","Number","11.59649"
"Burkina Faso","2007","All genders","Not applicable","Number","8.76442"
"Burkina Faso","2007","Male","Not applicable","Number","10.91168"
"Burkina Faso","2007","Female","Not applicable","Number","6.55317"
"Burundi","2014","All genders","Not applicable","Number","19.47725"
"Burundi","2014","Female","Not applicable","Number","16.37327"
"Burundi","2014","Male","Not applicable","Number","22.68772"
"Burundi","2013","All genders","Not applicable","Number","17.11795"
"Burundi","2013","Male","Not applicable","Number","20.34213"
"Burundi","2013","Female","Not applicable","Number","14.01658"
"Burundi","2012","All genders","Not applicable","Number","13.62276"
"Burundi","2012","Female","Not applicable","Number","10.92508"
"Burundi","2012","Male","Not applicable","Number","16.43881"
"Burundi","2011","Female","Not applicable","Number","10.11564"
"Burundi","2011","Male","Not applicable","Number","16.6761"
"Burundi","2011","All genders","Not applicable","Number","13.3209"
"Burundi","2009","Female","Not applicable","Number","7.09743"
"Burundi","2009","All genders","Not applicable","Number","9.24993"
"Burundi","2009","Male","Not applicable","Number","11.51141"
"Cambodia","2014","Female","Not applicable","Number","32.96278"
"Cambodia","2014","All genders","Not applicable","Number","32.86067"
"Cambodia","2014","Male","Not applicable","Number","32.76194"
"Cambodia","2013","Female","Not applicable","Number","33.33333"
"Cambodia","2013","Male","Not applicable","Number","33.64653"
"Cambodia","2013","All genders","Not applicable","Number","33.49317"
"Cambodia","2008","Female","Not applicable","Number","32.4437"
"Cambodia","2008","All genders","Not applicable","Number","35.20767"
"Cambodia","2008","Male","Not applicable","Number","37.8166"
"Cambodia","2007","Female","Not applicable","Number","28.73516"
"Cambodia","2007","Male","Not applicable","Number","36.16925"
"Cambodia","2007","All genders","Not applicable","Number","32.53996"
"Cambodia","2006","Female","Not applicable","Number","22.71383"
"Cambodia","2006","All genders","Not applicable","Number","26.6612"
"Cambodia","2006","Male","Not applicable","Number","30.44762"
"Cameroon","2014","All genders","Not applicable","Number","32.20986"
"Cameroon","2014","Female","Not applicable","Number","30.00525"
"Cameroon","2014","Male","Not applicable","Number","34.38874"
"Cameroon","2013","All genders","Not applicable","Number","39.47716"
"Cameroon","2013","Male","Not applicable","Number","41.16065"
"Cameroon","2013","Female","Not applicable","Number","37.77444"
"Cameroon","2012","Female","Not applicable","Number","30.23297"
"Cameroon","2012","Male","Not applicable","Number","34.44479"
"Cameroon","2012","All genders","Not applicable","Number","32.35057"
"Cameroon","2011","All genders","Not applicable","Number","27.01736"
"Cameroon","2010","All genders","Not applicable","Number","26.21799"
"Cameroon","2009","All genders","Not applicable","Number","25.43406"
"Canada","2013","Male","Not applicable","Number","96.32986"
"Canada","2013","All genders","Not applicable","Number","97.18513"
"Canada","2013","Female","Not applicable","Number","98.08925"
"Cape Verde","2014","All genders","Not applicable","Number","63.69779"
"Cape Verde","2014","Female","Not applicable","Number","72.3469"
"Cape Verde","2014","Male","Not applicable","Number","55.27145"
"Cape Verde","2013","Male","Not applicable","Number","55.56967"
"Cape Verde","2013","Female","Not applicable","Number","71.64815"
"Cape Verde","2013","All genders","Not applicable","Number","63.52639"
"Cape Verde","2012","Male","Not applicable","Number","54.93937"
"Cape Verde","2012","All genders","Not applicable","Number","64.93413"
"Cape Verde","2012","Female","Not applicable","Number","75.03153"
"Cape Verde","2011","Male","Not applicable","Number","58.28802"
"Cape Verde","2011","Female","Not applicable","Number","74.94752"
"Cape Verde","2011","All genders","Not applicable","Number","66.62871"
"Cape Verde","2010","Male","Not applicable","Number","52.2696"
"Cape Verde","2010","All genders","Not applicable","Number","60.61951"
"Cape Verde","2010","Female","Not applicable","Number","68.84635"
"Central African Republic","2012","Female","Not applicable","Number","7.90091"
"Central African Republic","2012","All genders","Not applicable","Number","10.85378"
"Central African Republic","2012","Male","Not applicable","Number","13.85928"
"Chad","2013","Female","Not applicable","Number","12.60357"
"Chad","2013","Male","Not applicable","Number","32.46195"
"Chad","2013","All genders","Not applicable","Number","22.59096"
"Chad","2011","Male","Not applicable","Number","21.39445"
"Chad","2011","All genders","Not applicable","Number","15.17822"
"Chad","2011","Female","Not applicable","Number","8.89217"
"Chad","2010","Male","Not applicable","Number","22.34894"
"Chad","2010","Female","Not applicable","Number","8.6366"
"Chad","2010","All genders","Not applicable","Number","15.53209"
"Chad","2006","Male","Not applicable","Number","19.04786"
"Chad","2006","All genders","Not applicable","Number","12.43658"
"Chad","2006","Female","Not applicable","Number","5.74192"
"Chile","2014","Male","Not applicable","Number","96.30753"
"Chile","2014","Female","Not applicable","Number","97.18301"
"Chile","2014","All genders","Not applicable","Number","96.73627"
"China","2014","All genders","Not applicable","Number","107.5369"
"China","2014","Female","Not applicable","Number","109.50852"
"China","2014","Male","Not applicable","Number","105.80634"
"China","2013","Male","Not applicable","Number","111.01861"
"China","2013","Female","Not applicable","Number","114.02412"
"China","2013","All genders","Not applicable","Number","112.42682"
